"id","gauge_id","source_id","segment","unit","value","date","mode"
118440069,6413,55241,1,1,0.010012515644556,"2025-03-05",3
177404598,6413,55241,10,99,0.80037546933667,"2025-03-05",3
177404599,6413,55241,20,99,0.69597866898842,"2025-03-05",3
250546767,6413,,1,1,0.010012515644556,"2025-03-05",0
250548136,6413,,20,99,0.69597866898842,"2025-03-05",0
291735380,1879,594071,1,1,0.0,"2025-03-05",1
291735410,1879,,1,1,0.0,"2025-03-05",4
291735440,1879,,1,1,0.0,"2025-03-05",0
291735500,1878,594072,1,1,140.77586206897,"2025-03-05",1
291735530,1878,,1,1,140.77586206897,"2025-03-05",4
291735560,1878,,1,1,140.77586206897,"2025-03-05",0
291735659,1880,594073,1,1,0.0,"2025-03-05",1
291735689,1880,,1,1,0.0,"2025-03-05",4
291735719,1880,,1,1,0.0,"2025-03-05",0
291735772,1882,594074,1,1,1.8620689655172,"2025-03-05",1
291735802,1882,,1,1,1.8620689655172,"2025-03-05",4
291735832,1882,,1,1,1.8620689655172,"2025-03-05",0
291735982,1861,594075,1,1,0.44827586206897,"2025-03-05",1
291736012,1861,,1,1,0.44827586206897,"2025-03-05",4
291736042,1861,,1,1,0.44827586206897,"2025-03-05",0
291736353,1858,594076,2,2,45.879310344828,"2025-03-05",1
291736354,1858,594076,3,2,34.068965517241,"2025-03-05",1
291736414,1858,,2,2,45.879310344828,"2025-03-05",4
291736415,1858,,3,2,34.068965517241,"2025-03-05",4
291736474,1858,,2,2,45.879310344828,"2025-03-05",0
291736475,1858,,3,2,34.068965517241,"2025-03-05",0
291736684,1860,594077,1,1,40.568965517241,"2025-03-05",1
291736714,1860,,1,1,40.568965517241,"2025-03-05",4
291736744,1860,,1,1,40.568965517241,"2025-03-05",0
291736774,1859,594078,1,1,0.20689655172414,"2025-03-05",1
291736804,1859,,1,1,0.20689655172414,"2025-03-05",4
291736834,1859,,1,1,0.20689655172414,"2025-03-05",0
291760643,1677,594107,1,1,0.33333333333333,"2025-03-05",1
291760674,1677,,1,1,0.33333333333333,"2025-03-05",4
291760705,1677,,1,1,0.33333333333333,"2025-03-05",0
291760770,1672,594108,1,1,0.36666666666667,"2025-03-05",1
